Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
World,CAIT,Total including LUCF,CO2,MtCO₂e,36441.55,35588.7,35160.6,34521.91,34558.59,34217.18,33620.34,33226.01,33328.38,31769.89,31856.76,31608.28,30905.93,29663.75,28826.48,27308.37,26486.63,25726.42,25637.87,24957.3,24895.32,25292.92,24214.92,23890.22,23260.29,23124.0,22988.29,23056.4,22849.92
China,CAIT,Total including LUCF,CO2,MtCO₂e,9663.36,9367.67,9164.21,9120.27,9184.77,9226.51,8823.05,8568.09,8138.34,7382.89,6862.78,6655.98,6099.67,5486.88,4789.59,4081.05,3476.08,3194.5,2994.73,2799.84,2882.75,2779.27,2715.5,2735.48,2414.5,2294.12,2068.77,1952.78,1823.96
United States,CAIT,Total including LUCF,CO2,MtCO₂e,4749.57,4581.9,4656.84,4563.52,4683.35,4670.34,4531.16,4753.12,4990.96,4757.65,5161.51,5338.52,5254.87,5354.45,5338.46,5258.12,5192.68,5347.79,5357.88,5191.66,5172.06,5129.29,4864.46,4708.31,4654.52,4581.76,4461.62,4389.5,4426.4
European Union (27),CAIT,Total including LUCF,CO2,MtCO₂e,2636.99,2692.12,2669.54,2321.61,2263.78,2408.39,2482.45,2541.91,2900.69,2814.76,3064.51,3142.06,3182.24,3174.41,3193.98,3188.85,3096.47,3103.48,3086.68,3079.46,3134.03,3142.23,3210.93,3113.68,3060.09,3072.4,3133.06,3247.48,3286.44
India,CAIT,Total including LUCF,CO2,MtCO₂e,2400.25,2267.16,2149.01,2085.38,2072.03,1901.98,1843.74,1695.97,1670.29,1573.51,1428.85,1341.07,1219.23,1142.71,1092.16,1020.87,992.51,958.86,719.07,683.0,618.73,600.38,555.6,519.98,466.79,431.31,409.09,386.17,341.32
Indonesia,CAIT,Total including LUCF,CO2,MtCO₂e,1269.55,1081.11,1068.1,1574.76,1539.23,1250.27,1303.87,1285.69,773.92,1036.71,731.76,738.57,1152.83,829.93,1031.49,761.93,1001.39,631.16,795.62,849.42,907.96,1484.56,772.38,909.21,881.31,869.88,855.3,846.23,832.39
Japan,CAIT,Total including LUCF,CO2,MtCO₂e,1074.08,1119.86,1139.33,1131.74,1170.11,1211.27,1202.66,1162.67,1057.96,1003.19,1061.73,1128.57,1092.63,1116.25,1113.6,1118.29,1109.5,1073.16,1107.18,1090.14,1055.5,1098.26,1110.51,1097.1,1087.22,1033.99,1041.79,1029.99,1016.89
Russia,CAIT,Total including LUCF,CO2,MtCO₂e,1049.05,998.24,971.87,870.02,919.33,936.52,979.37,974.12,814.11,726.06,844.09,822.52,821.2,762.04,765.36,753.44,723.05,721.85,1115.29,1081.87,1043.96,1052.5,1159.83,1190.39,1238.41,1447.33,1630.98,1766.89,1790.34
Brazil,CAIT,Total including LUCF,CO2,MtCO₂e,812.02,834.14,826.21,741.96,768.77,744.85,713.75,679.1,1498.84,1451.95,1473.28,1452.63,1435.1,1431.63,1427.88,1410.4,1418.33,1420.6,1351.16,1339.1,1329.24,1319.99,1301.37,1279.97,1261.19,1253.64,1247.13,1243.65,1236.73
Germany,CAIT,Total including LUCF,CO2,MtCO₂e,680.06,702.73,717.68,713.08,708.25,748.42,730.81,717.17,754.58,716.32,771.22,765.28,795.83,783.85,802.5,818.31,815.01,829.38,778.97,782.33,812.12,819.93,851.78,822.15,824.87,836.08,841.83,881.44,904.38
Iran,CAIT,Total including LUCF,CO2,MtCO₂e,629.35,620.83,605.81,602.23,610.67,592.48,571.12,561.73,506.63,507.16,489.82,479.47,446.5,406.93,375.44,346.42,324.45,306.74,320.34,306.0,272.42,271.0,259.83,251.99,240.77,210.86,212.99,197.26,158.83
Canada,CAIT,Total including LUCF,CO2,MtCO₂e,609.67,597.4,585.58,693.99,697.02,691.53,682.31,682.88,836.28,822.04,851.45,872.59,842.42,851.37,838.71,846.79,826.9,808.34,580.65,560.63,552.1,543.72,528.32,514.62,503.69,487.56,490.88,477.81,483.99
Democratic Republic of the Congo,CAIT,Total including LUCF,CO2,MtCO₂e,603.57,603.66,603.43,604.26,606.16,605.02,603.8,603.89,369.76,369.61,369.57,369.45,369.3,369.19,368.87,368.77,368.58,368.5,368.63,369.03,369.04,368.92,368.97,368.95,369.0,369.14,369.19,369.45,370.89
South Korea,CAIT,Total including LUCF,CO2,MtCO₂e,585.07,579.56,568.98,556.05,535.54,547.18,548.5,546.83,514.14,465.27,453.07,441.38,426.82,419.96,424.78,404.49,401.82,410.4,413.25,358.5,323.23,388.04,366.44,341.87,310.79,284.2,253.77,231.61,206.81
Saudi Arabia,CAIT,Total including LUCF,CO2,MtCO₂e,514.6,540.7,556.74,561.14,536.81,499.38,488.75,456.67,439.23,399.63,382.24,347.53,328.35,308.97,294.21,278.11,266.91,248.6,244.34,234.53,230.41,214.93,234.09,222.4,218.79,206.21,199.35,186.61,166.39
Mexico,CAIT,Total including LUCF,CO2,MtCO₂e,486.58,486.25,493.7,486.44,472.17,483.71,494.56,494.81,402.21,395.03,410.68,395.67,382.98,365.66,347.46,340.27,322.01,316.03,406.79,382.78,395.43,371.54,348.39,328.84,348.29,323.14,312.07,308.41,290.01
South Africa,CAIT,Total including LUCF,CO2,MtCO₂e,439.8,441.69,431.74,431.17,454.27,443.16,432.99,415.41,431.5,410.42,432.95,403.29,385.95,384.03,386.36,359.5,337.79,326.95,291.05,284.79,302.8,295.2,280.26,270.47,258.29,252.71,245.11,248.61,253.94
Australia,CAIT,Total including LUCF,CO2,MtCO₂e,388.81,389.39,386.15,346.53,340.43,349.83,356.33,356.33,416.72,424.33,417.88,414.75,404.44,398.89,394.65,381.38,382.28,374.35,389.23,383.46,378.07,357.18,349.99,339.4,329.03,322.72,318.72,315.07,313.95
Turkey,CAIT,Total including LUCF,CO2,MtCO₂e,384.32,387.25,345.94,291.92,280.97,258.5,269.21,258.05,254.16,244.87,244.24,246.01,218.13,192.05,181.64,176.2,165.15,154.82,199.67,175.93,176.91,176.65,168.5,151.32,136.99,138.69,132.88,126.88,122.28
United Kingdom,CAIT,Total including LUCF,CO2,MtCO₂e,347.84,355.42,367.93,389.41,403.89,442.1,456.12,433.47,470.83,454.16,503.46,518.2,530.68,529.64,531.36,531.12,519.27,533.53,519.16,511.41,514.07,511.37,533.7,513.33,524.43,529.56,542.02,559.38,545.73
Malaysia,CAIT,Total including LUCF,CO2,MtCO₂e,319.59,298.1,310.17,124.54,135.37,109.59,91.92,92.13,316.2,303.97,309.7,298.83,277.26,279.59,268.09,247.43,240.01,224.83,233.1,222.59,233.95,214.34,206.21,197.88,191.2,185.4,183.09,177.54,170.4
Italy,CAIT,Total including LUCF,CO2,MtCO₂e,312.03,316.37,320.52,303.19,292.83,311.79,342.08,362.02,370.56,362.34,410.27,424.66,431.94,439.12,437.69,427.49,408.76,401.86,401.78,398.49,391.85,381.0,377.63,381.89,357.76,362.41,367.75,369.55,370.74
Poland,CAIT,Total including LUCF,CO2,MtCO₂e,279.83,279.92,266.86,261.94,258.63,271.24,276.27,283.51,242.12,225.64,236.73,241.79,242.51,229.77,230.24,226.19,215.84,222.2,282.27,295.56,305.04,331.29,342.0,326.79,326.6,330.86,330.22,338.47,337.06
Thailand,CAIT,Total including LUCF,CO2,MtCO₂e,270.9,273.7,273.79,263.34,259.38,262.72,252.33,234.88,202.37,187.79,194.8,190.63,184.56,182.59,176.75,157.31,149.6,138.28,174.79,174.18,167.52,188.5,185.34,166.83,148.39,134.23,119.61,109.85,100.74
France,CAIT,Total including LUCF,CO2,MtCO₂e,247.98,254.37,250.72,249.42,243.42,275.53,275.23,272.44,281.45,277.4,291.73,296.43,305.12,314.34,311.47,310.45,304.82,310.56,348.31,350.09,356.3,334.26,343.1,327.43,319.62,324.68,343.81,355.84,331.69
Egypt,CAIT,Total including LUCF,CO2,MtCO₂e,246.45,238.87,234.14,226.86,217.56,211.34,213.32,202.53,196.33,195.32,188.94,182.06,168.96,160.42,142.52,131.07,127.57,124.84,112.45,114.26,108.86,103.55,96.36,91.46,86.03,91.43,91.89,88.98,86.41
Vietnam,CAIT,Total including LUCF,CO2,MtCO₂e,245.36,209.66,211.7,186.54,146.44,132.72,124.61,126.39,167.68,149.73,135.62,123.43,113.77,110.49,102.81,88.48,86.61,73.93,-22.17,-27.25,-27.51,-32.4,-38.3,-41.95,-45.54,-48.04,-52.98,-53.98,-53.88
Spain,CAIT,Total including LUCF,CO2,MtCO₂e,244.45,249.55,233.15,248.42,233.1,234.94,261.41,266.54,254.12,268.35,305.03,335.55,322.65,331.38,316.44,299.53,293.62,275.62,250.68,235.67,213.54,205.91,187.41,197.88,185.76,175.41,189.79,179.52,172.32
Kazakhstan,CAIT,Total including LUCF,CO2,MtCO₂e,217.46,222.57,220.04,196.78,195.37,246.48,231.63,232.33,222.05,202.7,230.49,187.59,178.69,160.96,148.7,134.78,119.94,110.36,113.85,117.43,129.49,125.99,149.08,171.65,195.24,217.53,254.83,246.71,236.74
