Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,14.99,14.37,14.06,14.44,14.75,14.86,14.43,14.9,15.13,15.39,15.5,15.78,15.54,14.92,15.77,14.98,15.6,15.11,15.22,15.26,15.83,15.52,14.48,16.53
Africa,24.7,24.42,24.34,24.54,24.44,24.72,24.63,24.71,25.02,24.74,24.59,24.84,24.96,25.03,24.9,25.16,24.82,24.85,24.75,25.03,25.47,24.79,24.73,25.21
Albania,13.47,12.34,13.08,13.12,14.1,12.78,12.74,12.9,13.31,13.65,13.75,13.69,13.56,13.63,13.26,12.75,12.98,13.89,13.96,13.84,13.78,13.44,13.77,14.99
Algeria,24.01,23.01,22.77,23.45,23.64,23.72,23.73,23.96,23.92,24.3,24.03,24.72,24.26,24.39,23.92,24.22,24.2,24.07,23.95,24.15,25.22,24.14,23.95,25.12
American Samoa,27.16,27.17,27.07,26.82,26.99,27.27,27.11,26.96,27.42,27.07,27.22,27.23,27.54,27.26,27.28,27.37,27.08,27.45,27.0,27.03,27.45,27.01,27.2,27.52
Andorra,12.46,11.57,11.5,11.43,12.63,12.38,11.74,12.9,12.12,12.18,12.31,12.22,12.32,12.9,12.04,11.64,12.83,12.16,11.98,12.57,11.48,12.99,12.34,12.31
Angola,22.47,22.1,22.5,22.29,22.19,22.94,22.48,22.32,23.12,22.38,22.36,22.5,22.93,23.07,22.57,22.97,21.95,22.43,22.29,22.32,22.68,22.03,22.12,22.51
Anguilla,27.1,27.1,27.05,27.16,27.17,27.55,27.06,27.39,27.74,27.34,27.05,27.41,27.54,27.68,27.33,27.73,27.64,27.69,27.14,27.47,27.86,27.53,27.64,27.36
Antigua And Barbuda,26.93,26.9,26.89,26.96,26.95,27.38,26.94,27.29,27.6,27.13,26.89,27.25,27.36,27.51,27.15,27.6,27.47,27.51,26.97,27.28,27.74,27.3,27.43,27.25
Argentina,15.16,15.1,14.74,15.1,15.58,15.15,15.21,15.62,15.26,15.06,14.75,15.37,15.18,15.52,15.44,15.11,15.56,14.63,15.48,15.53,15.08,15.34,15.69,14.46
Armenia,9.26,9.37,7.61,7.77,9.02,9.89,9.82,9.25,10.45,10.33,9.92,10.44,9.6,9.42,9.72,9.74,10.05,9.54,9.71,9.84,11.51,9.14,10.35,11.34
Aruba,28.24,28.34,28.5,28.59,28.48,28.74,28.48,28.76,28.98,28.2,28.13,28.63,28.85,28.85,28.51,28.77,28.8,28.82,28.45,28.83,28.97,28.51,28.65,28.54
Asia,8.43,8.15,7.67,7.82,8.04,8.71,7.89,8.28,8.29,8.38,8.25,8.45,8.65,8.53,8.49,8.67,8.41,9.1,8.76,8.44,8.58,8.57,8.43,10.05
Australia,22.36,22.49,21.93,22.16,22.03,21.96,22.33,22.09,22.66,22.06,21.71,21.79,22.46,22.44,22.29,22.9,22.26,22.49,22.23,22.69,22.08,21.77,22.02,22.14
Austria,7.34,6.36,7.62,6.86,8.16,6.85,5.86,7.03,7.22,7.23,8.08,7.19,7.92,7.51,6.91,6.61,7.28,7.98,7.8,7.62,6.65,7.86,7.61,8.06
Azerbaijan,11.99,11.96,10.72,10.53,11.47,12.73,12.2,11.89,12.96,12.85,12.63,13.1,12.43,11.98,12.62,12.69,12.71,12.51,12.37,12.61,13.96,11.81,13.09,14.17
