Years,China,United States,India,Russia,Japan,Iran,Germany,Saudi Arabia,South Korea,Indonesia
1989,2463.654,5131.927,541.135,2400.308,1021.682,190.198,1008.792,203.424,223.565,131.674
1990,2484.855,5113.455,578.518,2525.518,1158.007,209.944,1052.477,208.497,250.469,150.285
1991,2606.096,5057.931,615.925,2396.205,1169.692,226.011,1014.225,288.545,275.657,180.621
1992,2730.788,5167.481,656.033,1957.886,1179.396,226.935,965.893,316.175,300.033,203.577
1993,2921.651,5267.343,677.916,1859.679,1172.339,235.607,956.132,340.642,330.272,219.762
1994,3100.002,5358.824,716.918,1641.616,1227.273,263.82,939.815,328.139,355.836,222.855
1995,3357.909,5421.502,762.121,1613.141,1239.62,271.582,938.968,262.421,383.696,226.543
1996,3503.234,5610.582,825.919,1580.376,1251.531,273.769,959.151,258.275,421.095,255.067
1997,3510.169,5686.465,859.686,1475.36,1244.781,267.046,931.324,215.807,445.188,280.734
1998,3360.455,5731.05,877.698,1458.368,1204.993,305.503,923.357,207.24,378.444,215.971
1999,3350.34,5804.669,951.749,1486.301,1241.611,379.501,895.874,225.986,410.996,243.95
2000,3439.152,6010.508,978.919,1471.259,1264.375,369.15,899.852,296.364,440.531,274.727
2001,3514.934,5904.882,992.56,1507.707,1249.766,394.759,916.649,296.588,456.245,303.341
2002,3872.595,5946.771,1023.027,1495.694,1279.12,397.625,899.971,325.698,476.789,310.818
2003,4545.014,6011.837,1059.616,1525.607,1287.468,413.665,901.152,326.517,485.955,340.441
2004,5223.755,6114.007,1125.471,1530.694,1282.862,441.947,887.089,394.585,492.249,344.394
2005,5876.555,6134.521,1185.953,1547.599,1290.371,463.499,866.697,395.855,499.564,348.989
2006,6488.804,6051.668,1259.744,1606.542,1267.362,503.636,878.32,431.292,504.506,346.706
2007,6978.612,6131.004,1358.152,1604.549,1303.134,512.66,851.624,386.507,522.906,388.255
2008,7496.832,5914.078,1462.815,1636.923,1232.314,534.644,854.927,432.336,534.025,366.293
2009,7886.533,5478.21,1612.817,1528.961,1163.213,559.025,790.295,465.844,539.23,401.957
2010,8616.653,5675.786,1677.888,1613.113,1214.816,569.772,832.949,517.716,595.59,451.931
2011,9528.556,5540.173,1780.13,1665.207,1264.866,577.336,809.217,497.659,624.55,504.762
2012,9775.622,5338.698,1963.586,1680.104,1306.01,602.738,813.985,563.179,628.936,521.528
2013,9952.744,5474.257,2036.937,1619.42,1315.343,610.21,831.454,540.805,635.791,496.074
2014,9985.583,5522.807,2185.856,1622.589,1263.729,641.842,792.588,609.206,630.595,498.973
2015,9848.42,5371.771,2268.567,1623.1,1223.396,628.626,795.61,674.878,635.214,551.475
2016,9720.444,5248.024,2382.223,1618.599,1203.718,637.362,800.687,639.056,639.259,560.846
2017,9920.459,5207.751,2433.856,1646.457,1188.123,712.256,785.883,639.378,655.747,575.176
2018,10289.99,5375.491,2599.806,1691.647,1143.458,707.157,754.112,621.953,671.631,614.884
2019,10489.989,5255.816,2625.968,1679.449,1105.929,733.366,711.428,622.413,648.025,660.594
2020,10587.943,5318.872,2723.482,1751.248,1129.603,744.736,752.242,690.755,641.901,671.232
2021,10655.106,5562.984,2795.146,1853.96,1168.221,777.263,749.56,753.941,638.603,679.623
2022,10668.184,5507.074,2973.66,1878.862,1160.305,787.651,761.979,735.852,635.518,714.874
2023,10819.353,5439.723,2998.517,2013.566,1084.463,823.377,698.036,777.673,640.392,712.039
2024,11200.517,5571.055,3183.154,2037.372,1069.35,858.385,632.121,752.83,657.648,717.86
2025,11846.416,5606.167,3270.293,2131.909,1028.748,863.365,586.666,804.602,681.963,788.112
2026,12604.15,5527.071,3436.798,2200.238,1011.635,892.868,604.424,785.274,689.347,841.882
2027,13402.092,5701.259,3588.01,2272.901,1028.075,916.316,607.103,824.421,685.619,841.976
2028,13987.479,5780.852,3782.994,2255.781,986.062,947.138,601.956,769.653,719.542,870.901
2029,14328.106,5861.928,3888.056,2249.462,987.298,974.768,612.848,780.327,724.488,909.51
2030,14419.9,5779.052,4121.075,2204.847,985.28,971.557,534.778,765.177,734.354,954.204
2031,14303.101,5811.066,4293.535,2214.066,1010.504,1007.208,562.142,789.684,725.924,970.347
2032,14450.731,5841.971,4501.924,2269.21,1004.877,1012.693,577.173,779.027,728.709,966.221
2033,14653.754,5801.997,4653.707,2323.923,987.68,1010.124,592.009,780.726,756.533,1011.883
2034,14756.313,6043.658,4882.021,2360.973,1029.139,1019.281,501.785,772.173,767.16,1056.819
2035,15005.77,6137.169,5058.278,2441.596,1020.772,1041.341,503.997,774.511,775.623,1070.134
2036,15053.737,6267.615,5240.265,2548.667,1055.859,1065.846,491.509,779.493,772.029,1118.821
2037,14962.321,6414.705,5441.087,2627.636,1113.741,1078.473,541.787,769.074,781.721,1174.444
2038,14834.002,6448.096,5616.45,2701.045,1108.448,1081.098,573.165,769.027,798.717,1197.328
2039,14916.531,6296.348,5787.595,2618.481,1109.447,1121.134,528.674,768.15,822.674,1211.417
2040,15215.375,6374.812,6009.493,2575.676,1086.434,1143.805,499.337,784.617,823.132,1261.174
2041,15696.903,6296.014,6194.683,2531.046,1043.137,1166.21,479.361,781.766,816.322,1304.038
2042,16198.824,6273.002,6357.145,2516.207,961.394,1178.686,512.737,801.817,826.339,1299.66
2043,16744.713,6284.679,6594.366,2424.916,924.551,1192.162,454.666,815.283,840.844,1342.138
2044,17211.915,6149.345,6775.949,2349.317,870.786,1200.541,421.21,804.105,851.537,1420.883
2045,17446.61,6118.7,6993.431,2300.666,828.546,1206.385,445.568,759.966,876.336,1461.242
2046,17663.354,6108.557,7173.884,2293.333,858.285,1236.21,435.593,741.802,889.409,1491.294
2047,17854.949,6082.552,7431.317,2286.559,888.985,1254.004,459.755,719.891,905.348,1528.46
2048,17955.742,6142.493,7610.697,2293.282,834.699,1287.289,373.446,735.992,916.118,1574.825
2049,18092.829,6348.516,7876.342,2259.747,823.922,1305.547,442.041,794.923,923.589,1622.283
2050,18178.02,6243.529,8098.48,2267.276,786.362,1322.561,430.764,792.347,928.231,1652.055
